episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
782,23.0,4.277567987443347,-4.988248969992546,57.05417859957735,0.0,2.6666666666666665,10,2.738203937053989,False,True,4.626226952696571,23,48.06927451701628,3891.099,in_progress,0.0
782,24.0,4.343181086307598,-4.885779977706264,57.23433088687653,0.0,1.3333333333333333,9,1.4992603931912813,False,True,4.878652605894499,24,48.06927451701628,3891.166,in_progress,0.0
782,25.0,4.406106951938148,-4.775324408767214,58.7232448126701,6.666666666666668,2.6666666666666665,16,2.8937765371998467,False,True,5.14608596025079,24,48.06927451701628,3891.227,in_progress,0.0
782,26.0,4.470408515836155,-4.656257304997788,60.13382515012392,10.0,2.6666666666666665,19,3.0453292101278215,False,True,5.425475334763657,25,48.06927451701628,3891.302,in_progress,0.0
782,27.0,4.524381089189863,-4.536012455468223,62.79807504279933,0.0,4.0,11,1.4923677848400494,False,True,5.694410829723223,25,48.06927451701628,3891.369,in_progress,0.0
782,28.0,4.589253027522486,-4.388494402505204,64.58033412411197,-6.666666666666668,2.6666666666666665,4,3.239852401983475,False,True,6.048845885699319,26,48.06927451701628,3891.433,in_progress,0.0
782,29.0,4.6586324963913555,-4.253580805943384,63.61105612320569,6.666666666666668,2.6666666666666665,16,3.220033425829464,False,True,6.417103729045043,26,48.06927451701628,3891.503,in_progress,0.0
782,30.0,4.739234246489084,-4.097959804958849,63.16485689496641,10.0,1.3333333333333333,18,0.001,False,True,6.7801826209622575,27,48.06927451701628,3891.56,in_progress,0.0
782,31.0,4.79778656598738,-3.9557259107573945,65.49895011284299,3.333333333333332,1.3333333333333333,12,0.001,False,True,7.153116868792783,27,48.06927451701628,3891.637,in_progress,0.0
782,32.0,4.850081462720985,-3.7928272542818595,69.32720705333713,10.0,1.3333333333333333,18,0.001,False,True,7.507152442342263,28,48.06927451701628,3891.7,in_progress,0.0
782,33.0,4.876404985453095,-3.6748181360438896,72.90121263576316,6.666666666666668,1.3333333333333333,15,0.001,False,True,7.795037626689433,28,48.06927451701628,3891.766,in_progress,0.0
782,34.0,4.8958537256940735,-3.5468828236351975,76.95656206855055,3.333333333333332,1.3333333333333333,12,0.001,False,True,8.062857785781258,29,48.06927451701628,3891.837,in_progress,0.0
782,35.0,4.907414298160607,-3.4426636527409826,79.67229406237256,0.0,2.6666666666666665,10,3.378972911295424,False,True,8.302923986284135,29,48.06927451701628,3891.892,in_progress,0.0
